"lagoslakeid","lake_maxdepth_m","maxdepth_true_true","maxdepth_true_false","maxdepth_false_true","maxdepth_false_false","inlake_slope","slope_mean","dist_deepest","dist_viscenter","reservoir_class","shape_class","lake_perimeter_m","lake_islandarea_ha","lake_elevation_m","lake_waterarea_ha","lake_shorelinedevfactor","ws_lake_arearatio","hu4_zoneid"
"1630",15.2392563242914,68.9243872092805,62.0686764904073,33.8586683512427,30.4908439143338,0.188622776852376,0.0962318226000885,365.408612678964,437.377305845744,"NL","convex",4459.7,0,228.8,94.787,1.292,1.986,"hu4_37"
"5689",12.1914050594331,40.3754186886828,37.4291673707535,33.4556770278418,31.014369030629,0.165941780403414,0.142902196324864,243.310747844984,307.112680872657,"NL","convex",4309.6,0.223,43.8,64.606,1.512,4.077,"hu4_9"
"6902",27.4306613837245,90.0961562199357,68.2055835248693,75.714846895474,57.3184865000851,0.296151135148367,0.258820302822296,304.223572112256,313.091463430488,"Res","convex",53318.5,0.393,180.1,619.581,6.043,381.57,"hu4_11"
"3791",33.526363913441,258.297569925231,410.720903623757,60.5281354585984,96.2462422600916,0.17817316639864,0.0432487029085693,1449.69961047514,2924.35256485489,"NL","convex",54506.6,0,181,6762.282,1.87,7.424,"hu4_31"
"78407",10.6674795150757,11.6421783380481,11.6296746550455,10.5537444487062,10.5424097421551,0.0425384097401889,0.0399278912839751,273.686261643415,367.315482287504,"NL","convex",4736.9,0,411.8,92.885,1.386,1.662,"hu4_53"
"5694",21.3349588540079,98.3658022523567,73.0098586729986,31.9935144341695,23.7464841825686,0.584565996551882,0.197676393180508,168.27150883318,180.430129836865,"NL","convex",3025.8,0.315,201.1,30.061,1.557,83.662,"hu4_7"
"2702",15.2392559051514,22.1049984517825,25.9273946128836,84.8756954782397,99.5524000830595,0.0425340114473853,0.169769009394169,519.70170928097,790.398944545952,"Res","convex",34850.4,42.36,413.9,701.516,3.712,7.058,"hu4_26"
"2893",15.2392563242914,68.730752717305,49.8138802451253,5.38962088086248,3.90622710375632,0.382918600280726,0.0310455779332774,179.491810183462,186.96707231162,"NL","convex",3148.4,0,270.5,22.28,1.882,6.576,"hu4_37"
"2964",15.2392563242914,60.5792898590252,56.2323717080512,5.16933766806592,4.7984074740983,0.283351977059331,0.0249589505961532,213.795190306156,273.004500258894,"NL","convex",6150.5,0,281.2,88.593,1.843,12.244,"hu4_31"
"3673",9.14355373382568,16.9569351476572,14.9178616794123,41.8589065783653,36.8253680839115,0.0275638678709371,0.0706109699949113,615.187071243232,704.369526879186,"NL","convex",7047.5,0,341.2,281.452,1.185,1.424,"hu4_53"
"5763",9.14355379457482,36.8871077423331,28.9314040487454,49.4754063388495,38.8046951597236,0.128241607037938,0.178813179311293,287.637597456344,307.168988569409,"Res","concave",5126.2,0,176,96.75,1.47,7.11,"hu4_9"
"6312",9.14355379457482,38.3660219581374,29.9475214732881,23.0239756464953,17.9719181161454,0.166224708881201,0.103615036145229,230.808176572336,249.984638048809,"NL","convex",3483.9,0.157,161.1,38.081,1.593,13.703,"hu4_9"
"82860",21.9435539245605,23.7029783954015,17.9655752734516,12.7161483589902,9.63815250222463,0.127600383234644,0.0710401329722849,185.759460861604,200.440280528167,"NL","convex",2299.8,0,406,27.189,1.244,2.581,"hu4_54"
"3756",24.3828101188662,83.2264909405059,59.1428717055019,15.8433412641518,11.2586832531728,0.390759595014359,0.0772136831621003,212.986429514156,213.727676603653,"NL","convex",3527.4,0,368.2,44.293,1.495,2.807,"hu4_30"
"3099",21.3349588540079,67.6221024598878,49.1322091066565,10.1754291936284,7.39316431617728,0.389853603994704,0.0608491774037798,173.455116913082,181.854135596474,"Res","convex",23792.4,16.253,305.9,199.688,4.75,1.525,"hu4_39"
"658",15.2392563242914,98.9110270339989,122.467262484365,127.21233613546,157.508692690002,0.248779776506432,0.332802399362958,397.584676789199,642.778993421722,"NL","convex",8917.6,0,294.1,220.776,1.693,1.051,"hu4_41"
"3206",15.2392563242914,112.125191891571,85.2042010585562,39.6172540809613,30.1052459768935,0.216423201796024,0.0793808839901259,518.083047293827,518.715355498843,"NL","concave",4396.5,0,360.5,126.705,1.102,4.151,"hu4_30"
"1056",12.1914050594331,56.741020064429,40.6434174946773,13.9097679981182,9.9635238731993,0.242411503087922,0.0616430208555638,234.069008036509,234.253216754014,"NL","convex",4353.9,0,290.6,36.418,2.035,4.246,"hu4_41"
"3596",12.1914050594331,57.3652328430395,45.3418987142391,3.055291086359,2.41492437343112,0.271025692906076,0.0148176678142331,211.659758999009,233.793241984563,"NL","convex",3285.2,0,341.4,33.1,1.611,81.293,"hu4_30"
"1131",9.14355379457482,37.565698376438,26.0170570535428,23.1382600013657,16.0249764171247,0.231067120009376,0.147920696451056,162.574832693261,164.949616864994,"NL","convex",1596.6,0,255.9,12.949,1.252,12.27,"hu4_30"
"2249",7.61962816214569,35.9710989208053,28.961147619754,20.6740695990592,16.6451623531889,0.242348441556024,0.144760772398632,148.427193052487,173.642021378899,"NL","convex",3160,0,387.9,31.66,1.584,2.544,"hu4_31"
"8187",24.9936008453369,24.0110886826633,34.3102149832665,39.19592917025,56.008320741873,0.119250976499881,0.202397451167728,201.349199708124,385.339973346205,"NL","convex",5493.8,0,234.5,130.659,1.356,20.816,"hu4_1"
"3509",10.667479427004,34.0455862232942,148.783061185191,26.7637098402297,116.960438060458,0.103426211814466,0.0844139092040254,329.177542385172,1833.6775066665,"NL","convex",61509.1,0,395,5292.12,2.385,6.265,"hu4_24"
"108338",10.6674795150757,16.9182459322799,14.3653336804707,0.234195837469903,0.198856392400194,0.0142831347240265,8.88178419700125e-16,1184.49109800951,1289.00631284531,"NL","convex",28056.9,2.195,397.6,1439.979,2.086,1.664,"hu4_25"
"3097",42.6699180603027,79.2303504289926,63.6696156113104,276.130297307351,221.89867636585,0.0696198963938184,0.25232316663119,1138.04177444923,1174.20052476648,"NL","convex",43795.2,157.019,434.6,1863.786,2.862,1.254,"hu4_26"
"770",27.3677825927734,31.0814618624913,43.010532021577,6.05674778966,8.38132858442414,0.118555225043914,0.0238386267625889,262.168637873012,479.82272444896,"NL","convex",3956.1,0,414.2,99.373,1.12,4.045,"hu4_54"
"5596",21.3349588540079,97.2752856000757,79.5626915025592,0.324609237986188,0.265502018333378,0.271908048892527,0.00073857620786041,357.750666066249,391.499761820393,"Res","convex",19644.9,4.372,62,215.124,3.778,15.377,"hu4_9"
"54240",12.6428737640381,12.1538998771417,15.465157663292,9.54118611204253,12.1406255612706,0.0337966086861989,0.0274073190209237,359.618918868176,599.137625819212,"Res","convex",79118.9,54.937,442.4,1452.172,5.857,21.752,"hu4_28"
"1333",15.0683393478394,21.3652829777706,16.8010119059333,0.185724499001167,0.146048124997393,0.0265425786646388,3.43571669389026e-05,804.943756509777,819.866973152223,"NL","convex",10211.7,0,405.7,508.531,1.277,0.734,"hu4_54"
"1465",10.6674795150757,14.2507165664617,11.1665975884214,20.1799359406286,15.812624085125,0.0293406030532593,0.0430363849823856,485.699511376563,502.21946680361,"NL","concave",4389,0,331.5,124.907,1.108,9.749,"hu4_25"
"8249",26.8223991394043,17.4051884626941,33.9088023377506,32.7762872211905,63.8547894572269,0.0540974433984115,0.105820391337376,321.737726762984,812.097258100644,"NL","convex",11903.5,0,157.7,467.237,1.553,2.566,"hu4_2"
"3799",7.61962795257568,10.759998396678,7.65116545034275,19.0967412011338,13.5792145226864,0.0494145000270235,0.0910702564303675,217.74981818684,218.110893697867,"NL","convex",3999.5,3.99,334.1,74.832,1.304,2.071,"hu4_25"
"5996",27.4306613837245,184.561090636565,166.554987910836,66.115125987572,59.6648186874216,0.247684910596906,0.0921396786897027,745.144668650923,869.532639187556,"NL","convex",86227.9,232.606,170.9,2748.271,4.64,2.172,"hu4_9"
"122956",21.3349590301514,25.6909647024699,18.5755490261252,15.2782961365223,11.0467918276476,0.126742738930149,0.0782406006433143,202.701668902933,207.696171416723,"NL","convex",3220,0,345.2,41.752,1.406,11.313,"hu4_25"
"4139",18.2871075891496,127.27480347079,95.8471852507015,88.0262666777553,66.2901820243376,0.312170111160361,0.224501156017873,407.709767593379,409.655504749113,"NL","convex",6473.5,0,240.4,119.53,1.67,7.015,"hu4_37"
"3395",12.1914050594331,54.5872766191265,39.8778609198345,24.6440063644207,18.0032842664941,0.273875949649092,0.128479565294414,199.313874361978,206.493669282238,"NL","convex",5395.6,0,288.8,55.92,2.035,9.407,"hu4_37"
"4607",8.53398354160317,29.5621160069102,49.6973077418669,3.45009995200362,5.80001374106118,0.531093697448478,0.0643035631406939,55.6627129053402,141.01283537148,"Res","convex",3945.7,0,317.4,23.877,2.278,113.132,"hu4_56"
"55898",6.40048456192017,8.17653643371783,6.98958126711284,5.06989744835438,4.33392066658819,0.0201608331051163,0.0128047081343882,405.565404519064,459.563229959884,"NL","concave",6750.7,0,370.2,125.426,1.7,2.741,"hu4_54"
"17328",15.2392563242914,39.9825182753738,24.9646399624546,24.3591668491836,15.2095930022943,0.376023365506451,0.238225059932245,106.329877191336,106.801043310255,"NL","convex",1032.9,0,411.9,6.708,1.125,4.667,"hu4_7"
"2747",9.34297466278076,11.9504469907243,17.8302590818663,37.6600705001187,56.189430786954,0.0295498705390589,0.0967129853141147,404.416221550895,782.630095281101,"NL","convex",11483.4,5.362,325.5,377.576,1.667,6.694,"hu4_55"
"110889",9.14355379457482,29.8814007782971,21.043081702863,17.4892295837858,12.316266221329,0.376986119328553,0.229435731623277,79.2639284213398,93.4960705058159,"NL","convex",1577.9,0,74.2,8.723,1.507,3.922,"hu4_9"
"79761",9.36515998840332,12.0948394799004,13.0224729191738,22.9411923109555,24.7007044698238,0.0423047626916561,0.0833084442667979,285.897821199358,410.649869343659,"NL","convex",3613.9,0,413.2,84.881,1.107,23.953,"hu4_54"
"58641",27.0128211975098,35.2323171002684,27.4787580867464,28.753844028963,22.4259994563313,0.0895959148536356,0.0758965978405919,393.235753637028,409.229419386263,"NL","convex",4919.9,0,419.4,112.861,1.306,1.878,"hu4_25"
"43170",17.0635929107666,18.1514222388505,16.9057366373387,17.4476924568849,16.2503020272453,0.0361517421407027,0.0359611696737051,502.089834791504,611.77029204691,"NL","convex",6048.4,0,399.4,224.192,1.14,4.872,"hu4_25"
"5830",30.4785126485827,130.179736061436,127.884729690416,21.0854202031345,20.7136943480522,0.484034785223355,0.081390574981066,268.947067515747,355.753910293726,"NL","convex",4304,0,667.4,73.279,1.418,6.794,"hu4_6"
"20",7.61962816214569,47.4439500755318,45.8076533291601,22.0181455224036,21.258760609847,0.23443476979711,0.113028319989036,202.375910862505,269.155983403937,"NL","convex",2550.9,0,18.1,35.7,1.204,5.457,"hu4_10"
"2903",21.3349588540079,71.2835354806248,58.5698466079732,25.3627263538739,20.8391879287491,0.347193450651445,0.128362412964591,205.313594904726,235.552294309703,"NL","convex",3196.9,0.152,283,40.783,1.412,113.971,"hu4_31"
"4213",15.2392563242914,72.0065785353166,62.4320317012978,1.92062219659939,1.66524154186133,0.357999687366875,0.00973242008217392,201.135869880034,242.721015539811,"NL","convex",4061.5,0,195.5,49.056,1.636,6.067,"hu4_37"
"5653",9.14355379457482,35.6729103982612,26.2085413887219,30.4688033776943,22.3851344191994,0.11896178096037,0.105544036852707,299.868664627213,300.511232463982,"NL","convex",2984,0,129.1,46.152,1.239,73.007,"hu4_7"
"2913",9.44821643829346,7.64386911602911,5.79552417839423,16.0652113045847,12.1805226035975,0.0354036829067519,0.0772362901892422,215.906043904018,229.2637428126,"NL","concave",4045,0,306.4,54.783,1.542,2.52,"hu4_25"
"7429",21.9445291069796,44.0125206726952,58.8927110077266,39.2943031066681,52.5793115627364,0.294175475607763,0.273141731077958,149.613153787772,275.196484219549,"Res","convex",26410.3,0,113.3,302.566,4.283,118.619,"hu4_11"
"5274",13.4105455653764,37.1370608741197,68.6143499475757,10.465454041055,19.3359492924664,0.591010662605012,0.17313517003007,62.8365327800175,169.356187855676,"Res","concave",10193.2,0,180.3,77.885,3.258,51.903,"hu4_57"
"4160",21.3349588540079,110.959724544856,79.2590558005493,4.8793288159828,3.48532764011027,0.491765714485282,0.0223007363167274,225.635340725196,226.084790511174,"NL","convex",2622.3,0,366.1,30.778,1.333,0.508,"hu4_32"
"24352",15.2392559051514,17.312821227004,16.7191115784009,18.4394128164039,17.8070688927805,0.106381727465421,0.117718054424017,162.74243368187,221.03701324135,"NL","convex",2749.9,0,297,28.259,1.459,9.675,"hu4_25"
"3539",6.09570252971655,24.8868223548669,37.4409534582713,19.4205451505843,29.2172185242881,0.0660246781652777,0.0534175245743413,376.932126690091,736.920294734506,"Res","convex",26038.5,8.642,285.5,343.04,3.966,15.12,"hu4_37"
"8115",17.6784000396729,15.0550118425839,15.8222098319096,17.5357512584183,18.4293668362368,0.0652271123854855,0.0788669511217967,230.809111303446,328.526399877347,"Res","convex",12746.2,0,454.3,263.605,2.215,11.26,"hu4_2"
"8026",23.7744007110596,28.8799601266603,24.6298776514082,21.3837076797411,18.236801629075,0.017977877649305,0.013648378681816,1606.41654649245,1747.42784687291,"Res","convex",77733,77.827,145.5,3471.485,3.722,6.884,"hu4_2"
"820",9.14355379457482,46.3070048844681,55.0164182072241,13.5473923427108,16.095383508466,0.142448843428221,0.0431675989559632,325.078138720037,509.309492790538,"Res","convex",17477.7,0,208.3,394.319,2.483,43.822,"hu4_39"
"4652",9.75312404754648,68.7329491779325,51.8912274978115,42.8416851035664,32.3441326858199,0.252258753509588,0.163439363862293,272.470026199983,282.131535463899,"Res","convex",25150.6,0,314.9,316.086,3.991,16.001,"hu4_62"
"5032",21.9445291069796,92.2918635861551,80.5834469582096,14.7957246946908,12.9186956446045,0.372530481852709,0.0619512067343865,247.743119239959,295.4810656112,"Res","convex",21107.4,9.86,320.7,268.646,3.633,83.683,"hu4_56"
"2003",36.5742149353027,53.4700442406885,50.4058579136151,112.999677167087,106.524050100453,0.0906800282275123,0.199244025373922,589.656237275693,722.812201865651,"NL","convex",13719.8,0,375.1,551.963,1.647,2.435,"hu4_25"
"465",23.7125968933105,28.4417482039829,27.8302376273665,1.01571595704734,0.993877600061763,0.0870690641983032,0.00303041889963159,326.657331922228,425.511481579286,"NL","convex",7211,0.986,382.4,169.498,1.562,18.187,"hu4_25"
"5731",12.1914050594331,37.6427204139486,133.369741216107,25.4015477825051,89.9987518698546,0.169573987951127,0.118889273295527,221.984048784638,1013.0687258312,"NL","convex",83325.2,90.875,379.4,3092.809,4.227,7.992,"hu4_6"
